Country,Region,Gear,Vessel_size,Other,Type,HKE_kg,Total_kg,Perc_HKE,Fuel_Litres,Fuel_Intensity,Year
PRT,NAO,DFN,1218,NGI,LSF,130721,1783630,0.073289303,1355205,759.8016405,2018
PRT,NAO,DFN,1824,NGI,LSF,432576,1678529,0.257711365,1459503,869.5131273,2018
PRT,NAO,DTS,10,NGI,SSF,5092,160505,0.031724868,180119,1122.201801,2018
PRT,NAO,DTS,1012,NGI,SSF,31816,309083,0.102936752,398734,1290.054775,2018
PRT,NAO,DTS,1218,NGI,LSF,24691,706852,0.034930933,860092,1216.7922,2018
PRT,NAO,DTS,1824,NGI,LSF,16707,419794,0.039798091,2086274,4969.756595,2018
PRT,NAO,DTS,2440,NGI,LSF,809582,24178383,0.033483711,24381119,1008.385011,2018
PRT,NAO,FPO,1218,NGI*,LSF,36456,2629133,0.013866168,1760002,669.4229619,2018
PRT,NAO,HOK,1012,NGI,SSF,1101,105761,0.010410265,78798,745.0572517,2018
PRT,NAO,PGP,1012,NGI,SSF,1448,80463,0.017995849,73580,914.4575768,2018
PRT,NAO,PGP,1218,NGI,LSF,48978,1464579,0.033441692,1150751,785.7213575,2018
PRT,NAO,PGP,1824,NGI,LSF,17111,347676,0.049215361,240210,690.9018742,2018
